game_id,season,week,gameday,away_team,home_team,home_score,away_score,result,home_win_actual,incumbent_home_win_prob,base_incumbent_prob,predicted_winner,confidence_bucket,model_version,model_date,training_seasons,feature_set,calibration_method,model_holdout_ll,elo_k,elo_hfa,elo_reg,elo_decay,elo_qb_bonus,overlay_gamma,overlay_cap,overlay_gate_active,home_qb_adj,away_qb_adj,caution_qb_change,caution_neutral,caution_early_season,caution_missing_features,caution_model_market_disagreement,market_model_diff,market_prob_diagnostic,market_minus_model_diagnostic,qb_change_flag,game_type,roof,surface,weekday,div_game,log_loss,brier,correct,actual_winner,is_favorite_correct,is_underdog_correct
2019_14_TEN_OAK,2019,14,2019-12-08,TEN,OAK,21,42,-21,0.0,0.3664525973818137,0.3814097333198233,TEN,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-22.5,-11.4,0,0,0,0,0,0.0452,0.4116,0.0452,0,REG,outdoors,grass,Sunday,0,0.4564,0.1343,1,TEN,0,1
2020_11_ARI_SEA,2020,11,2020-11-19,ARI,SEA,28,21,7,1.0,0.6344289034802936,0.6344289034802936,SEA,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,38.1,-1.1,0,0,0,0,0,-0.029,0.6054,-0.029,0,REG,outdoors,fieldturf,Thursday,1,0.455,0.1336,1,SEA,1,0
2020_02_BAL_HOU,2020,2,2020-09-20,BAL,HOU,16,33,-17,0.0,0.364176705724328,0.364176705724328,BAL,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,34.9,73.6,0,0,1,0,0,-0.1165,0.2477,-0.1165,0,REG,closed,grass,Sunday,0,0.4528,0.1326,1,BAL,0,1
2020_15_KC_NO,2020,15,2020-12-20,KC,NO,29,32,-3,0.0,0.3637305154437809,0.3858470506077715,KC,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,23.6,85.8,1,0,0,0,0,0.072,0.4358,0.072,1,REG,dome,astroturf,Sunday,0,0.4521,0.1323,1,KC,0,1
2020_16_TEN_GB,2020,16,2020-12-27,TEN,GB,40,14,26,1.0,0.6387714774675132,0.6387714774675132,GB,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,36.9,0.1,0,0,0,0,0,-0.0154,0.6233,-0.0154,0,REG,outdoors,grass,Sunday,0,0.4482,0.1305,1,GB,1,0
2019_13_MIN_SEA,2019,13,2019-12-02,MIN,SEA,37,30,7,1.0,0.6390513570708399,0.6390513570708399,SEA,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,45.5,-12.5,0,0,0,0,0,-0.0484,0.5907,-0.0484,0,REG,outdoors,fieldturf,Monday,0,0.4478,0.1303,1,SEA,1,0
2019_09_TEN_CAR,2019,9,2019-11-03,TEN,CAR,30,20,10,1.0,0.6398695169754487,0.5603665859466945,CAR,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,50.8,-17.7,0,0,0,0,0,-0.0147,0.6252,-0.0147,0,REG,outdoors,grass,Sunday,0,0.4465,0.1297,1,CAR,1,0
2020_09_GB_SF,2020,9,2020-11-05,GB,SF,17,34,-17,0.0,0.3597178743812575,0.4518475888686851,GB,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-32.2,34.4,1,0,0,0,0,-0.051,0.3087,-0.051,1,REG,outdoors,grass,Thursday,0,0.4458,0.1294,1,GB,0,1
2020_02_CAR_TB,2020,2,2020-09-20,CAR,TB,31,17,14,1.0,0.6415438541722949,0.616838886602395,TB,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,78.0,21.6,0,0,1,0,0,0.1096,0.7511,0.1096,0,REG,outdoors,grass,Sunday,1,0.4439,0.1285,1,TB,1,0
2019_05_ATL_HOU,2019,5,2019-10-06,ATL,HOU,53,32,21,1.0,0.6416767689309212,0.6416767689309212,HOU,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,21.9,6.4,0,0,0,0,0,0.0153,0.6569,0.0153,0,REG,closed,grass,Sunday,0,0.4437,0.1284,1,HOU,1,0
2020_06_BAL_PHI,2020,6,2020-10-18,BAL,PHI,28,30,-2,0.0,0.357939798277168,0.357939798277168,BAL,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,-15.8,72.2,0,0,0,0,0,-0.1416,0.2164,-0.1416,0,REG,outdoors,grass,Sunday,0,0.4431,0.1281,1,BAL,0,1
2020_10_DEN_LV,2020,10,2020-11-15,DEN,LV,37,12,25,1.0,0.642694870515003,0.6790506068113058,LV,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-20.7,7.5,0,0,0,0,0,-0.0064,0.6363,-0.0064,0,REG,dome,grass,Sunday,1,0.4421,0.1277,1,LV,1,0
2020_10_WAS_DET,2020,10,2020-11-15,WAS,DET,30,27,3,1.0,0.6443159112984223,0.7029209296776844,DET,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-28.5,17.9,1,0,0,0,0,-0.0819,0.5624,-0.0819,1,REG,dome,fieldturf,Sunday,0,0.4396,0.1265,1,DET,1,0
